  Time                 , V(U1:PLUS)           , (I(U1:PLUS))@1       
  0.000000000000e+000  ,0.000000000000e+000  ,0.000000000000e+000  
  1.000000000000e-005  ,-6.000000000000e-002  ,0.000000000000e+000  
  2.000000000000e-005  ,-1.200000000000e-001  ,0.000000000000e+000  
  4.000122070313e-005  ,-2.400073242188e-001  ,0.000000000000e+000  
  8.000366210938e-005  ,-4.800219726563e-001  ,0.000000000000e+000  
  1.600085449219e-004  ,-9.600512695312e-001  ,0.000000000000e+000  
  2.161914062500e-004  ,-1.297148437500e+000  ,-1.401040283563e-011  
  2.703295898437e-004  ,-1.621977539063e+000  ,-7.518037994057e-011  
  3.786059570313e-004  ,-2.271635742187e+000  ,-6.807900522749e-010  
  5.951586914063e-004  ,-3.570952148437e+000  ,-1.111502732297e-008  
  9.093676757812e-004  ,-5.456206054687e+000  ,-1.437158370090e-007  
  1.000000002000e-003  ,-6.000000000000e+000  ,-2.528538196078e-007  
  1.052695314500e-003  ,-6.000000000000e+000  ,-2.921448870568e-007  
  1.158090822313e-003  ,-6.000000000000e+000  ,-3.707224974018e-007  
  1.368881837937e-003  ,-6.000000000000e+000  ,-5.278613913654e-007  
  1.790463869187e-003  ,-6.000000000000e+000  ,-8.420412568724e-007  
  2.633627931688e-003  ,-6.000000000000e+000  ,-1.470009677175e-006  
  4.319956056688e-003  ,-6.000000000000e+000  ,-2.724384299301e-006  
  7.692612306687e-003  ,-6.000000000000e+000  ,-5.226908747002e-006  
  1.443792480669e-002  ,-6.000000000000e+000  ,-1.020724921458e-005  
  2.792854980669e-002  ,-6.000000000000e+000  ,-2.007059338827e-005  
  4.792854980669e-002  ,-6.000000000000e+000  ,-3.445993747702e-005  
  6.792854980669e-002  ,-6.000000000000e+000  ,-4.857894152598e-005  
  8.792854980669e-002  ,-6.000000000000e+000  ,-6.243692463279e-005  
  1.010000000020e-001  ,-5.999999988000e+000  ,-7.135706197231e-005  
  1.011000000018e-001  ,-5.399999989200e+000  ,-5.205746898703e-005  
  1.013000000018e-001  ,-4.199999989200e+000  ,-2.452140256650e-005  
  1.017000000018e-001  ,-1.799999989200e+000  ,-1.932362718642e-006  
  1.020000000020e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  1.020800000020e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  1.022400097676e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  1.025600292989e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  1.032000683614e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  1.044801464864e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  1.070403027364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  1.121606152364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  1.224012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  1.424012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  1.624012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  1.824012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  2.000000000020e-001  ,-1.200006760627e-008  ,0.000000000000e+000  
  2.001000000018e-001  ,-6.000000108001e-001  ,0.000000000000e+000  
  2.003000000018e-001  ,-1.800000010800e+000  ,-1.932774724903e-006  
  2.007000000018e-001  ,-4.200000010800e+000  ,-2.458059579010e-005  
  2.010000000020e-001  ,-6.000000000000e+000  ,-7.181994703329e-005  
  2.010800000020e-001  ,-6.000000000000e+000  ,-7.187417669284e-005  
  2.012400097676e-001  ,-6.000000000000e+000  ,-7.198262687587e-005  
  2.015600292989e-001  ,-6.000000000000e+000  ,-7.219949573823e-005  
  2.022000683614e-001  ,-6.000000000000e+000  ,-7.263304455269e-005  
  2.034801464864e-001  ,-6.000000000000e+000  ,-7.349938756202e-005  
  2.060403027364e-001  ,-6.000000000000e+000  ,-7.522906324620e-005  
  2.111606152364e-001  ,-6.000000000000e+000  ,-7.867643798597e-005  
  2.214012402364e-001  ,-6.000000000000e+000  ,-8.552379166826e-005  
  2.414012402364e-001  ,-6.000000000000e+000  ,-9.871823791960e-005  
  2.614012402364e-001  ,-6.000000000000e+000  ,-1.116824002187e-004  
  2.814012402364e-001  ,-6.000000000000e+000  ,-1.244236597106e-004  
  3.010000000020e-001  ,-5.999999988000e+000  ,-1.366998266575e-004  
  3.011000000018e-001  ,-5.399999989200e+000  ,-9.968724743638e-005  
  3.013000000018e-001  ,-4.199999989200e+000  ,-4.692843427449e-005  
  3.017000000018e-001  ,-1.799999989200e+000  ,-3.695986632699e-006  
  3.020000000020e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  3.020800000020e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  3.022400097676e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  3.025600292989e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  3.032000683614e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  3.044801464864e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  3.070403027364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  3.121606152364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  3.224012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  3.424012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  3.624012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  3.824012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  4.000000000020e-001  ,-1.200006760627e-008  ,0.000000000000e+000  
  4.001000000018e-001  ,-6.000000108000e-001  ,0.000000000000e+000  
  4.003000000018e-001  ,-1.800000010800e+000  ,-3.696363992113e-006  
  4.007000000018e-001  ,-4.200000010800e+000  ,-4.698264018288e-005  
  4.010000000020e-001  ,-6.000000000000e+000  ,-1.371237096333e-004  
  4.010800000020e-001  ,-6.000000000000e+000  ,-1.371733712596e-004  
  4.012400097676e-001  ,-6.000000000000e+000  ,-1.372726872027e-004  
  4.015600292989e-001  ,-6.000000000000e+000  ,-1.374712923464e-004  
  4.022000683614e-001  ,-6.000000000000e+000  ,-1.378683422889e-004  
  4.034801464864e-001  ,-6.000000000000e+000  ,-1.386618015975e-004  
  4.060403027364e-001  ,-6.000000000000e+000  ,-1.402461643169e-004  
  4.111606152364e-001  ,-6.000000000000e+000  ,-1.434047171027e-004  
  4.214012402364e-001  ,-6.000000000000e+000  ,-1.496815344853e-004  
  4.414012402364e-001  ,-6.000000000000e+000  ,-1.617882572559e-004  
  4.614012402364e-001  ,-6.000000000000e+000  ,-1.736985884764e-004  
  4.814012402364e-001  ,-6.000000000000e+000  ,-1.854183835187e-004  
  5.010000000020e-001  ,-5.999999988000e+000  ,-1.967235971052e-004  
  5.011000000018e-001  ,-5.399999989200e+000  ,-1.434401134173e-004  
  5.013000000018e-001  ,-4.199999989200e+000  ,-6.751176238877e-005  
  5.017000000018e-001  ,-1.799999989201e+000  ,-5.316081202635e-006  
  5.020000000020e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  5.020800000020e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  5.022400097676e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  5.025600292989e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  5.032000683614e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  5.044801464864e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  5.070403027364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  5.121606152364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  5.224012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  5.424012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  5.624012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  5.824012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  6.000000000020e-001  ,-1.199973453936e-008  ,0.000000000000e+000  
  6.001000000018e-001  ,-6.000000108000e-001  ,0.000000000000e+000  
  6.003000000018e-001  ,-1.800000010800e+000  ,-5.316428991119e-006  
  6.007000000018e-001  ,-4.200000010800e+000  ,-6.756171107392e-005  
  6.010000000020e-001  ,-6.000000000000e+000  ,-1.971141872513e-004  
  6.010800000020e-001  ,-6.000000000000e+000  ,-1.971599493425e-004  
  6.012400097676e-001  ,-6.000000000000e+000  ,-1.972514676305e-004  
  6.015600292989e-001  ,-6.000000000000e+000  ,-1.974344812390e-004  
  6.022000683614e-001  ,-6.000000000000e+000  ,-1.978003707665e-004  
  6.034801464864e-001  ,-6.000000000000e+000  ,-1.985315997064e-004  
  6.060403027364e-001  ,-6.000000000000e+000  ,-1.999918622532e-004  
  6.111606152364e-001  ,-6.000000000000e+000  ,-2.029036467953e-004  
  6.214012402364e-001  ,-6.000000000000e+000  ,-2.086925761236e-004  
  6.414012402364e-001  ,-6.000000000000e+000  ,-2.198675829645e-004  
  6.614012402364e-001  ,-6.000000000000e+000  ,-2.308732532451e-004  
  6.814012402364e-001  ,-6.000000000000e+000  ,-2.417143062617e-004  
